codeindyr;code;countryname;year;indicator;estimate;stddev;nsource;pctrank;pctranklower;pctrankupper
AFGcc2023;AFG;Afghanistan;2023;cc;-1,15;0,17;8;13,7;6,1;20,8
ALBcc2023;ALB;Albania;2023;cc;-0,33;0,16;9;43,4;29,7;51,9
DZAcc2023;DZA;Algeria;2023;cc;-0,59;0,17;8;30,2;20,8;45,3
ASMcc2023;ASM;American Samoa;2023;cc;1,25;0,46;1;87,7;65,6;96,7
ADOcc2023;ADO;Andorra;2023;cc;1,25;0,46;1;87,7;65,6;96,7
AGOcc2023;AGO;Angola;2023;cc;-0,61;0,16;10;29,2;20,8;42,5
AIAcc2023;AIA;Anguilla;2023;cc;1,25;0,46;1;87,7;65,6;96,7
ATGcc2023;ATG;Antigua and Barbuda;2023;cc;0,33;0,29;2;62,3;49,5;78,3
ARGcc2023;ARG;Argentina;2023;cc;-0,36;0,17;10;42,0;27,8;51,4
ARMcc2023;ARM;Armenia;2023;cc;0,06;0,18;8;57,1;47,2;62,7
ABWcc2023;ABW;Aruba;2023;cc;0,71;0,30;2;75,5;60,4;84,4
AUScc2023;AUS;Australia;2023;cc;1,78;0,17;9;95,8;90,6;98,1
AUTcc2023;AUT;Austria;2023;cc;1,13;0,16;10;83,5;79,2;90,1
AZEcc2023;AZE;Azerbaijan;2023;cc;-1,20;0,18;6;12,3;4,2;20,3
BHScc2023;BHS;Bahamas;2023;cc;1,27;0,20;5;88,2;79,7;92,9
BHRcc2023;BHR;Bahrain;2023;cc;0,18;0,19;7;59,4;50,5;65,6
BGDcc2023;BGD;Bangladesh;2023;cc;-1,12;0,16;12;14,6;7,5;20,8
BRBcc2023;BRB;Barbados;2023;cc;1,34;0,20;6;89,6;81,1;94,8
BLRcc2023;BLR;Belarus;2023;cc;-0,67;0,16;7;26,9;19,8;39,6
BELcc2023;BEL;Belgium;2023;cc;1,34;0,17;9;89,2;82,1;92,9
