index,CorruptionControl,GovEffectiveness,PoliticalStability,RuleLaw,RegulatoryQuality,VoiceAccountability
0,"-1,15","-1,99","-2,48","-1,65","-1,27","-1,85"
1,"-0,33","0,25","0,18","-0,16","0,17","0,17"
2,"-0,59","-0,67","-0,58","-0,68","-0,95","-0,98"
4,"1,25","1,48","1,58","1,48","1,35","1,00"
5,"-0,61","-1,01","-0,34","-1,10","-0,76","-0,74"
7,"0,33","0,38","0,92","0,38","0,55","0,74"
8,"-0,36","-0,38","-0,13","-0,41","-0,48","0,53"
9,"0,06","-0,18","-0,83","-0,12","0,05","0,08"
10,"0,71","0,80","1,43","1,27","0,95","1,02"
11,"1,78","1,59","0,92","1,52","1,94","1,51"
12,"1,13","1,33","0,73","1,75","1,36","1,41"
13,"-1,20","-0,03","-0,73","-0,57","-0,11","-1,41"
14,"1,27","0,27","1,01","0,18","0,01","0,86"
15,"0,18","0,70","-0,37","0,47","1,08","-1,38"
16,"-1,12","-0,70","-0,91","-0,50","-0,91","-0,75"
17,"1,34","0,38","1,19","0,41","0,50","1,16"
18,"-0,67","-0,99","-0,73","-1,25","-1,42","-1,67"
19,"1,34","1,04","0,40","1,30","1,17","1,33"
20,"-0,23","-0,38","0,59","-0,64","-0,43","0,54"
21,"-0,05","-0,22","-0,35","-0,51","-0,30","-0,22"
23,"1,53","0,57","0,98","0,67","-0,40","0,20"
24,"-0,84","-0,64","-0,31","-1,22","-1,18","-0,27"
25,"-0,58","-0,97","-0,35","-0,35","-0,14","-0,32"
26,"0,69","0,43","1,04","0,39","0,50","0,50"
27,"-0,50","-0,55","-0,41","-0,31","-0,30","0,38"
28,"1,28","1,40","1,37","0,89","0,98","-0,72"
29,"-0,14","0,05","0,34","-0,01","0,41","0,39"
30,"-0,17","-0,83","-2,04","-0,74","-0,49","-0,81"
31,"-1,56","-1,20","-1,17","-1,25","-0,99","-1,37"
32,"-1,30","-0,31","0,04","-0,82","-0,68","-1,29"
33,"-1,16","-0,91","-1,40","-1,04","-0,91","-1,07"
34,"1,67","1,52","0,82","1,47","1,64","1,48"
35,"0,98","0,01","0,90","0,40","0,24","0,96"
36,"0,44","1,24","1,63","0,72","1,07","0,76"
37,"-1,31","-1,74","-2,20","-1,76","-1,47","-1,26"
38,"-1,48","-1,48","-1,56","-1,35","-1,16","-1,43"
39,"0,97","0,72","0,14","0,63","0,93","1,02"
40,"-0,01","0,68","-0,51","-0,04","-0,36","-1,50"
41,"-0,31","-0,08","-0,72","-0,46","0,10","0,21"
42,"-0,99","-1,54","-0,23","-1,34","-1,24","-0,81"
43,"-1,48","-1,69","-2,04","-1,67","-1,41","-1,21"
44,"-1,35","-1,33","0,02","-1,02","-1,24","-1,15"
45,"0,03","-0,15","1,20","-0,53","-0,09","0,88"
46,"0,65","0,26","0,98","0,39","0,54","1,07"
47,"0,18","0,71","0,60","0,36","0,64","0,57"
48,"-0,06","-0,48","0,38","-0,45","-1,50","-1,25"
49,"0,33","0,74","0,41","0,63","0,78","0,97"
50,"0,77","1,11","0,97","1,14","1,30","1,08"
51,"-0,31","-0,36","-0,63","-0,46","-0,12","-0,38"
52,"2,38","2,02","0,85","1,91","1,84","1,66"
53,"-0,78","-0,73","-0,52","-1,13","-0,93","-1,27"
54,"0,54","0,26","1,29","0,62","0,31","0,79"
55,"-0,45","0,13","0,24","-0,13","0,17","0,33"
